name,status,termination,objective_value
ObjectiveFile_VaryingCost_0802022_79.csv,ok,optimal,15218169.049768794
ObjectiveFile_VaryingCost_0802022_88.csv,ok,optimal,15163265.733979318
ObjectiveFile_VaryingCost_0802022_215.csv,ok,optimal,14443870.785663012
ObjectiveFile_VaryingCost_0802022_372.csv,ok,optimal,13486722.388214119
ObjectiveFile_VaryingCost_0802022_172.csv,ok,optimal,14695159.831207987
ObjectiveFile_VaryingCost_0802022_320.csv,ok,optimal,13928338.400476644
ObjectiveFile_VaryingCost_0802022_52.csv,ok,optimal,15382878.997137215
ObjectiveFile_VaryingCost_0802022_387.csv,ok,optimal,13387141.86189833
ObjectiveFile_VaryingCost_0802022_103.csv,ok,optimal,15239377.531602636
ObjectiveFile_VaryingCost_0802022_122.csv,ok,optimal,15071019.97604708
ObjectiveFile_VaryingCost_0802022_115.csv,ok,optimal,15133046.443883337
ObjectiveFile_VaryingCost_0802022_241.csv,ok,optimal,14271264.540048977
ObjectiveFile_VaryingCost_0802022_21.csv,ok,optimal,15601322.959007941
ObjectiveFile_VaryingCost_0802022_130.csv,ok,optimal,15001595.139861243
ObjectiveFile_VaryingCost_0802022_288.csv,ok,optimal,13959245.557592837
ObjectiveFile_VaryingCost_0802022_60.csv,ok,optimal,15334076.049768794
ObjectiveFile_VaryingCost_0802022_326.csv,ok,optimal,13875172.856616998
ObjectiveFile_VaryingCost_0802022_25.csv,ok,optimal,15558619.151990395
ObjectiveFile_VaryingCost_0802022_9.csv,ok,optimal,15729434.380060572
ObjectiveFile_VaryingCost_0802022_202.csv,ok,optimal,14543589.09914688
ObjectiveFile_VaryingCost_0802022_90.csv,ok,optimal,15151064.997137215
ObjectiveFile_VaryingCost_0802022_42.csv,ok,optimal,15443882.681347739
ObjectiveFile_VaryingCost_0802022_299.csv,ok,optimal,13886219.838294592
ObjectiveFile_VaryingCost_0802022_256.csv,ok,optimal,14171684.013733188
ObjectiveFile_VaryingCost_0802022_92.csv,ok,optimal,15138864.260295108
ObjectiveFile_VaryingCost_0802022_230.csv,ok,optimal,14344290.259347223
ObjectiveFile_VaryingCost_0802022_183.csv,ok,optimal,14622134.111909742
ObjectiveFile_VaryingCost_0802022_268.csv,ok,optimal,14092019.592680557
ObjectiveFile_VaryingCost_0802022_311.csv,ok,optimal,14008086.71626612
ObjectiveFile_VaryingCost_0802022_264.csv,ok,optimal,14118574.3996981
ObjectiveFile_VaryingCost_0802022_398.csv,ok,optimal,13314116.142600084
ObjectiveFile_VaryingCost_0802022_332.csv,ok,optimal,13822007.312757347
ObjectiveFile_VaryingCost_0802022_286.csv,ok,optimal,13972522.961101608
ObjectiveFile_VaryingCost_0802022_312.csv,ok,optimal,13999225.79228951
ObjectiveFile_VaryingCost_0802022_265.csv,ok,optimal,14111935.697943715
ObjectiveFile_VaryingCost_0802022_237.csv,ok,optimal,14297819.34706652
ObjectiveFile_VaryingCost_0802022_364.csv,ok,optimal,13546800.685154246
ObjectiveFile_VaryingCost_0802022_127.csv,ok,optimal,15026715.35616404
ObjectiveFile_VaryingCost_0802022_105.csv,ok,optimal,15221655.68364942
ObjectiveFile_VaryingCost_0802022_213.csv,ok,optimal,14457148.189171782
ObjectiveFile_VaryingCost_0802022_191.csv,ok,optimal,14569024.497874653
ObjectiveFile_VaryingCost_0802022_170.csv,ok,optimal,14708437.23471676
ObjectiveFile_VaryingCost_0802022_234.csv,ok,optimal,14317735.452329678
ObjectiveFile_VaryingCost_0802022_160.csv,ok,optimal,14774824.252260618
ObjectiveFile_VaryingCost_0802022_259.csv,ok,optimal,14151767.908470029
ObjectiveFile_VaryingCost_0802022_15.csv,ok,optimal,15665378.669534255
ObjectiveFile_VaryingCost_0802022_193.csv,ok,optimal,14555747.094365884
ObjectiveFile_VaryingCost_0802022_235.csv,ok,optimal,14311096.750575291
ObjectiveFile_VaryingCost_0802022_369.csv,ok,optimal,13506638.493477277
ObjectiveFile_VaryingCost_0802022_298.csv,ok,optimal,13892858.540048977
ObjectiveFile_VaryingCost_0802022_379.csv,ok,optimal,13440251.475933416
ObjectiveFile_VaryingCost_0802022_205.csv,ok,optimal,14518672.993883722
ObjectiveFile_VaryingCost_0802022_50.csv,ok,optimal,15395079.733979318
ObjectiveFile_VaryingCost_0802022_339.csv,ok,optimal,13759980.84492109
ObjectiveFile_VaryingCost_0802022_48.csv,ok,optimal,15407280.470821425
ObjectiveFile_VaryingCost_0802022_63.csv,ok,optimal,15315774.944505636
ObjectiveFile_VaryingCost_0802022_97.csv,ok,optimal,15108362.418189846
ObjectiveFile_VaryingCost_0802022_85.csv,ok,optimal,15181566.839242477
ObjectiveFile_VaryingCost_0802022_154.csv,ok,optimal,14814656.462786935
ObjectiveFile_VaryingCost_0802022_249.csv,ok,optimal,14218154.926013889
ObjectiveFile_VaryingCost_0802022_357.csv,ok,optimal,13604938.264101615
ObjectiveFile_VaryingCost_0802022_229.csv,ok,optimal,14350928.961101608
ObjectiveFile_VaryingCost_0802022_119.csv,ok,optimal,15097602.747976905
ObjectiveFile_VaryingCost_0802022_73.csv,ok,optimal,15254771.260295108
ObjectiveFile_VaryingCost_0802022_352.csv,ok,optimal,13646465.106206877
ObjectiveFile_VaryingCost_0802022_386.csv,ok,optimal,13393780.563652715
ObjectiveFile_VaryingCost_0802022_100.csv,ok,optimal,15265960.30353246
ObjectiveFile_VaryingCost_0802022_159.csv,ok,optimal,14781462.954015007
ObjectiveFile_VaryingCost_0802022_2.csv,ok,optimal,15835261.86216196
ObjectiveFile_VaryingCost_0802022_236.csv,ok,optimal,14304458.048820905
ObjectiveFile_VaryingCost_0802022_33.csv,ok,optimal,15498785.997137215
ObjectiveFile_VaryingCost_0802022_338.csv,ok,optimal,13768841.768897695
ObjectiveFile_VaryingCost_0802022_101.csv,ok,optimal,15257099.379555853
