Variable,Net_Carbon
167N_2021_PLSQ,0.0
167N_2025_PLSQ,1.8483619699999991
167N_2030_PLSQ,-0.38612365999999554
167N_2050_PLSQ,6.949192050000001
167N_2021_THNB,-0.5842857299999977
167N_2025_THNB,1.0449752799999956
167N_2030_THNB,1.0898895199999998
167N_2050_THNB,21.187469490000005
167S_2021_PLSQ,0.0
167S_2025_PLSQ,5.697898870000003
167S_2030_PLSQ,6.045703889999999
167S_2050_PLSQ,14.331241599999998
167S_2021_THNB,-0.9310264599999982
167S_2025_THNB,0.6968154899999988
167S_2030_THNB,1.1447296199999997
167S_2050_THNB,24.205188750000005
505_2021_ASV,0.12204742000000124
505_2025_ASV,4.206501010000004
505_2030_ASV,3.99642944
505_2050_ASV,31.03562545999999
505_2021_IFM,-2.463722229999995
505_2025_IFM,1.4963951099999946
505_2030_IFM,3.3172683700000007
505_2050_IFM,20.950588220000007
505_2021_PLSQ,0.0
505_2025_PLSQ,4.3222618100000005
505_2030_PLSQ,5.0554923999999986
505_2050_PLSQ,25.97364807000001
505_2021_THNB,-1.386257179999994
505_2025_THNB,1.4133262699999989
505_2030_THNB,2.9037170399999965
505_2050_THNB,27.720748899999997
608_2021_AWR,-18.66719437
608_2025_AWR,-5.682603829999998
608_2030_AWR,-0.4635238699999995
608_2050_AWR,25.571611409999996
608_2021_PLSQ,0.0
608_2025_PLSQ,3.2434158300000036
608_2030_PLSQ,3.1871528599999976
608_2050_PLSQ,15.234691619999992
999_2021_AWR,-2.2063021659999995
999_2025_AWR,-0.46310997000000054
999_2030_AWR,2.2312326430000002
999_2050_AWR,23.561515805
999_2021_CAR,-2.2063021659999995
999_2025_CAR,-0.7068934440000003
999_2030_CAR,0.8228850369999998
999_2050_CAR,18.675200465
999_2021_NAR,-2.203596115
999_2025_NAR,-0.9008746139999997
999_2030_NAR,0.18476867599999958
999_2050_NAR,15.447171215
999_2021_PLSQ,0.0
999_2025_PLSQ,-0.10102605799999953
999_2030_PLSQ,0.09806585299999959
999_2050_PLSQ,1.2499690059999997
999_2021_SAR,-2.2063021659999995
999_2025_SAR,-0.6353983870000004
999_2030_SAR,1.112241268
999_2050_SAR,20.716050147
