constraint,objective_value
ARstart_2021,10.4826818282222
AWRConvert2021Ac,34.4945074056892
AWRConvert2025Ac,30.1965471106892
AWRConvert2030Ac,24.5551300756892
AWRConvert2050Ac,22.9201536956892
AWRTotalAc_2021,0.0
AWRTotalAc_2025,0.0
AWRTotalAc_2030,0.0
AWRTotalAc_2050,0.0
ThinSetup,0.0
TotalAcreage,0.0
YearlyAcreage_2021,0.0
YearlyAcreage_2025,0.0
YearlyAcreage_2030,0.0
YearlyAcreage_2050,0.0
167NAcreage_2021,0.0
167NAcreage_2025,6.11698442275689
167NAcreage_2030,-0.386123659999996
167NAcreage_2050,6.94919205
167SAcreage_2021,0.0
167SAcreage_2025,5.69789887
167SAcreage_2030,6.04570389
167SAcreage_2050,14.3312416
505Acreage_2021,3.91456798666667
505Acreage_2025,5.75828651666666
505Acreage_2030,6.06948379666667
505Acreage_2050,26.11871493
608Acreage_2021,0.0
608Acreage_2025,3.24341583
608Acreage_2030,3.18715286
608Acreage_2050,15.23469162
999Acreage_2021,0.0
999Acreage_2025,-0.101026058
999Acreage_2030,0.0980658529999996
999Acreage_2050,1.249969006
ARCont2025_CAR,1.11289611044444
ARCont2025_NAR,5.862432836
ARCont2025_SAR,5.596956609
ARcont2030_CAR,1.08173474044444
ARcont2030_NAR,6.275406657
ARcont2030_SAR,5.347934065
ARcont2050_CAR,-13.7313319195556
ARcont2050_NAR,-5.947747114
ARcont2050_SAR,-11.216626046
ThinCont2025_167N,7.47238038206767
ThinCont2025_167S,6.98479103431078
ThinCont2025_505,11.3799993116667
ThinCont2030_167N,1.26061483431078
ThinCont2030_167S,7.42381442931078
ThinCont2030_505,11.1086590716667
ThinCont2050_167N,-11.2183896756892
ThinCont2050_167S,-6.92623387068923
ThinCont2050_505,7.17620320999999
