decision_variable,value
167N_2050_CMAI21,15969.875
167N_2050_CMAI31,15969.875
167N_2050_CMAI41,15969.875
167N_2050_NMGT,79849.375
167S_2050_CMAI21,14161.875
167S_2050_CMAI31,14161.875
167S_2050_CMAI41,14161.875
167S_2050_NMGT,70809.375
505_2050_CMAI21,649.625
505_2050_CMAI31,649.625
505_2050_CMAI41,649.625
505_2050_NMGT,3248.125
608_2050_NMGT,40535
999_2050_NMGT,2440
