name,status,termination,objective_value
ObjectiveFile_VaryingCost_0802022_17.csv,ok,optimal,18529043.299294855
ObjectiveFile_VaryingCost_0802022_170.csv,ok,optimal,13244677.53136001
ObjectiveFile_VaryingCost_0802022_171.csv,ok,optimal,13198487.375500964
ObjectiveFile_VaryingCost_0802022_172.csv,ok,optimal,13153065.44525869
ObjectiveFile_VaryingCost_0802022_173.csv,ok,optimal,13107643.515016416
ObjectiveFile_VaryingCost_0802022_174.csv,ok,optimal,13062221.584774146
ObjectiveFile_VaryingCost_0802022_175.csv,ok,optimal,13016799.654531874
ObjectiveFile_VaryingCost_0802022_176.csv,ok,optimal,12974890.415720655
ObjectiveFile_VaryingCost_0802022_177.csv,ok,optimal,12934044.068811713
ObjectiveFile_VaryingCost_0802022_178.csv,ok,optimal,12893197.721902777
ObjectiveFile_VaryingCost_0802022_179.csv,ok,optimal,12852351.374993835
ObjectiveFile_VaryingCost_0802022_18.csv,ok,optimal,18468297.311199617
ObjectiveFile_VaryingCost_0802022_180.csv,ok,optimal,12811505.028084902
ObjectiveFile_VaryingCost_0802022_181.csv,ok,optimal,12770658.68117596
ObjectiveFile_VaryingCost_0802022_182.csv,ok,optimal,12734383.43757817
ObjectiveFile_VaryingCost_0802022_183.csv,ok,optimal,12704579.312891455
ObjectiveFile_VaryingCost_0802022_184.csv,ok,optimal,12674775.188204737
ObjectiveFile_VaryingCost_0802022_185.csv,ok,optimal,12644971.063518023
ObjectiveFile_VaryingCost_0802022_186.csv,ok,optimal,12615166.938831305
ObjectiveFile_VaryingCost_0802022_187.csv,ok,optimal,12585362.814144585
ObjectiveFile_VaryingCost_0802022_188.csv,ok,optimal,12555558.689457873
ObjectiveFile_VaryingCost_0802022_189.csv,ok,optimal,12525754.564771153
ObjectiveFile_VaryingCost_0802022_19.csv,ok,optimal,18407551.323104378
ObjectiveFile_VaryingCost_0802022_190.csv,ok,optimal,12495950.440084437
ObjectiveFile_VaryingCost_0802022_191.csv,ok,optimal,12466146.31539772
ObjectiveFile_VaryingCost_0802022_192.csv,ok,optimal,12436342.190711003
ObjectiveFile_VaryingCost_0802022_193.csv,ok,optimal,12406538.066024289
ObjectiveFile_VaryingCost_0802022_194.csv,ok,optimal,12376733.94133757
ObjectiveFile_VaryingCost_0802022_195.csv,ok,optimal,12346929.81665085
ObjectiveFile_VaryingCost_0802022_196.csv,ok,optimal,12317125.691964135
ObjectiveFile_VaryingCost_0802022_197.csv,ok,optimal,12294431.070482943
ObjectiveFile_VaryingCost_0802022_198.csv,ok,optimal,12289028.419480437
ObjectiveFile_VaryingCost_0802022_199.csv,ok,optimal,12283625.768477932
