,Run,StandID,MgmtID,Year,Mgmt_Cost
0,0,608,PLSQ,2021,0.0
1,0,608,AWR,2021,-1.0
2,0,999,PLSQ,2021,0.0
3,0,999,AWR,2021,-1.0
4,0,999,CAR,2021,1000.0
5,0,999,NAR,2021,1000.0
6,0,999,SAR,2021,1000.0
7,0,167S,PLSQ,2021,0.0
8,0,167S,THNB,2021,-1.0
9,0,167N,PLSQ,2021,0.0
10,0,167N,THNB,2021,-1.0
11,0,505,PLSQ,2021,0.0
12,0,505,ASV,2021,-1.0
13,0,505,IFM,2021,1000.0
14,0,505,THNB,2021,1000.0
0,1,608,PLSQ,2021,0.0
1,1,608,AWR,2021,-0.9724310776942355
2,1,999,PLSQ,2021,0.0
3,1,999,AWR,2021,-0.8888888888888888
4,1,999,CAR,2021,1000.0
5,1,999,NAR,2021,1000.0
6,1,999,SAR,2021,1000.0
7,1,167S,PLSQ,2021,0.0
8,1,167S,THNB,2021,-0.9724310776942355
9,1,167N,PLSQ,2021,0.0
10,1,167N,THNB,2021,-0.9724310776942355
11,1,505,PLSQ,2021,0.0
12,1,505,ASV,2021,-0.9166666666666666
13,1,505,IFM,2021,1000.0
14,1,505,THNB,2021,1000.0
0,2,608,PLSQ,2021,0.0
1,2,608,AWR,2021,-0.9448621553884712
2,2,999,PLSQ,2021,0.0
3,2,999,AWR,2021,-0.7777777777777778
4,2,999,CAR,2021,1000.0
5,2,999,NAR,2021,1000.0
6,2,999,SAR,2021,1000.0
7,2,167S,PLSQ,2021,0.0
8,2,167S,THNB,2021,-0.9448621553884712
9,2,167N,PLSQ,2021,0.0
10,2,167N,THNB,2021,-0.9448621553884712
11,2,505,PLSQ,2021,0.0
12,2,505,ASV,2021,-0.8333333333333334
13,2,505,IFM,2021,1000.0
14,2,505,THNB,2021,1000.0
0,3,608,PLSQ,2021,0.0
1,3,608,AWR,2021,-0.9172932330827068
2,3,999,PLSQ,2021,0.0
3,3,999,AWR,2021,-0.6666666666666667
4,3,999,CAR,2021,1000.0
5,3,999,NAR,2021,1000.0
6,3,999,SAR,2021,1000.0
7,3,167S,PLSQ,2021,0.0
8,3,167S,THNB,2021,-0.9172932330827068
9,3,167N,PLSQ,2021,0.0
10,3,167N,THNB,2021,-0.9172932330827068
11,3,505,PLSQ,2021,0.0
12,3,505,ASV,2021,-0.75
13,3,505,IFM,2021,1000.0
14,3,505,THNB,2021,1000.0
0,4,608,PLSQ,2021,0.0
1,4,608,AWR,2021,-0.8897243107769424
2,4,999,PLSQ,2021,0.0
3,4,999,AWR,2021,-0.5555555555555556
4,4,999,CAR,2021,1000.0
5,4,999,NAR,2021,1000.0
6,4,999,SAR,2021,1000.0
7,4,167S,PLSQ,2021,0.0
8,4,167S,THNB,2021,-0.8897243107769424
9,4,167N,PLSQ,2021,0.0
10,4,167N,THNB,2021,-0.8897243107769424
11,4,505,PLSQ,2021,0.0
12,4,505,ASV,2021,-0.6666666666666667
13,4,505,IFM,2021,1000.0
14,4,505,THNB,2021,1000.0
0,5,608,PLSQ,2021,0.0
1,5,608,AWR,2021,-0.8621553884711779
2,5,999,PLSQ,2021,0.0
3,5,999,AWR,2021,-0.4444444444444444
4,5,999,CAR,2021,1000.0
5,5,999,NAR,2021,1000.0
6,5,999,SAR,2021,1000.0
7,5,167S,PLSQ,2021,0.0
8,5,167S,THNB,2021,-0.8621553884711779
9,5,167N,PLSQ,2021,0.0
10,5,167N,THNB,2021,-0.8621553884711779
11,5,505,PLSQ,2021,0.0
12,5,505,ASV,2021,-0.5833333333333334
13,5,505,IFM,2021,1000.0
14,5,505,THNB,2021,1000.0
0,6,608,PLSQ,2021,0.0
1,6,608,AWR,2021,-0.8345864661654135
2,6,999,PLSQ,2021,0.0
3,6,999,AWR,2021,-0.33333333333333337
4,6,999,CAR,2021,1000.0
5,6,999,NAR,2021,1000.0
6,6,999,SAR,2021,1000.0
7,6,167S,PLSQ,2021,0.0
8,6,167S,THNB,2021,-0.8345864661654135
9,6,167N,PLSQ,2021,0.0
10,6,167N,THNB,2021,-0.8345864661654135
11,6,505,PLSQ,2021,0.0
12,6,505,ASV,2021,-0.5
13,6,505,IFM,2021,1000.0
14,6,505,THNB,2021,1000.0
0,7,608,PLSQ,2021,0.0
1,7,608,AWR,2021,-0.8070175438596492
2,7,999,PLSQ,2021,0.0
3,7,999,AWR,2021,-0.22222222222222232
4,7,999,CAR,2021,1000.0
5,7,999,NAR,2021,1000.0
6,7,999,SAR,2021,1000.0
7,7,167S,PLSQ,2021,0.0
8,7,167S,THNB,2021,-0.8070175438596492
9,7,167N,PLSQ,2021,0.0
10,7,167N,THNB,2021,-0.8070175438596492
11,7,505,PLSQ,2021,0.0
12,7,505,ASV,2021,-0.41666666666666674
13,7,505,IFM,2021,1000.0
14,7,505,THNB,2021,1000.0
0,8,608,PLSQ,2021,0.0
1,8,608,AWR,2021,-0.7794486215538847
2,8,999,PLSQ,2021,0.0
3,8,999,AWR,2021,-0.11111111111111116
4,8,999,CAR,2021,1000.0
5,8,999,NAR,2021,1000.0
6,8,999,SAR,2021,1000.0
7,8,167S,PLSQ,2021,0.0
8,8,167S,THNB,2021,-0.7794486215538847
9,8,167N,PLSQ,2021,0.0
10,8,167N,THNB,2021,-0.7794486215538847
11,8,505,PLSQ,2021,0.0
12,8,505,ASV,2021,-0.33333333333333337
13,8,505,IFM,2021,1000.0
14,8,505,THNB,2021,1000.0
0,9,608,PLSQ,2021,0.0
1,9,608,AWR,2021,-0.7518796992481203
2,9,999,PLSQ,2021,0.0
