constraint,slack_le
TotalAcreage,4.0
YearlyAcreage_2021,0.0
YearlyAcreage_2025,0.0
YearlyAcreage_2030,0.0
YearlyAcreage_2050,0.0
AWRTotalAc_2021,143009.0
AWRTotalAc_2025,143009.0
AWRTotalAc_2030,143009.0
AWRTotalAc_2050,123009.0
AWRConvert2021Ac,1000.0
AWRConvert2025Ac,4000.0
AWRConvert2030Ac,5000.0
AWRConvert2050Ac,0.0
ThinSetup,252509.0
ARstart_2021,0.0
